,yeast_ID,yeast_REPLACEMENT_ID,AGORA_abbr,bigg_reaction,CARVEME_abbr
d-glucose,D-glucose[e],s_0565,glc_D,EX_glc__D_e,glc__D
d-fructose,D-fructose[e],s_0554,fru,EX_fru_e,fru
l-fucose,,,fuc_L,EX_fuc__L_e,fuc__L
d-ribose,D-ribose[e],s_0576,rib_D,EX_rib__D_e,rib__D
d-xylose,D-xylose[e],s_0579,xyl_D,EX_xyl__D_e,xyl__D
l-arabinose,L-arabinose[e],s_0964,arab_L,EX_arab__L_e,arab__L
d-galactose,D-galactose[e],s_0559,gal,EX_gal_e,gal
raffinose,raffinose[e],s_3715,raffin,EX_raffin_e,raffin
l-rhamnose,,,rmn,EX_rmn_e,rmn
stachyose,,,stys,,
sucrose,sucrose[e],s_1466,sucr,EX_sucr_e,sucr
l-alanine,L-alanine[e],s_0956,ala_L,EX_ala__L_e,ala__L
l-arginine,L-arginine[e],s_0966,arg_L,EX_arg__L_e,arg__L
l-asparagine,L-asparagine[e],s_0970,asn_L,EX_asn__L_e,asn__L
l-aspartate,L-aspartate[e],s_0974,asp_L,EX_asp__L_e,asp__L
l-glutamine,L-glutamine[e],s_1000,gln_L,EX_gln__L_e,gln__L
l-glutamate,L-glutamate[e],s_0992,glu_L,EX_glu__L_e,glu__L
glycine,L-glycine[e],s_1004,gly,EX_gly_e,gly
l-cysteine,L-cysteine[e],s_0982,cys_L,EX_cys__L_e,cys__L
l-histidine,L-histidine[e],s_1007,his_L,EX_his__L_e,his__L
l-isoleucine,L-isoleucine[e],s_1017,ile_L,EX_ile__L_e,ile__L
l-leucine,L-leucine[e],s_1022,leu_L,EX_leu__L_e,leu__L
l-lysine,L-lysine[e],s_1026,lys_L,EX_lys__L_e,lys__L
l-methionine,L-methionine[e],s_1030,met_L,EX_met__L_e,met__L
l-phenylalanine,L-phenylalanine[e],s_1033,phe_L,EX_phe__L_e,phe__L
l-proline,L-proline[e],s_1036,pro_L,EX_pro__L_e,pro__L
l-serine,L-serine[e],s_1041,ser_L,EX_ser__L_e,ser__L
l-valine,L-valine[e],s_1057,val_L,EX_val__L_e,val__L
l-threonine,L-threonine[e],s_1046,thr_L,EX_thr__L_e,thr__L
l-tryptophan,L-tryptophan[e],s_1049,trp_L,EX_trp__L_e,trp__L
l-tyrosine,L-tyrosine[e],s_1052,tyr_L,EX_tyr__L_e,tyr__L
l-citrulline,L-citrulline[e],s_4166,citr_L,EX_citr__L_e,citr__L
taurine,taurine[e],s_1472,taur,EX_taur_e,taur
thiamin,thiamine[e],s_1490,thm,EX_thm_e,thm
pyridoxine,pyridoxine[e],s_1397,pydxn,EX_pydxn_e,pydxn
biotin,biotin[e],s_0452,btn,EX_btn_e,btn
l-ascorbate,,,,"
EX_ascb__L_e",ascb__L
cob(i)alamin,,,cbl1,EX_cbl1_e,cbl1
folate,folate[e],s_0720,fol,EX_fol_e,fol
riboflavin,riboflavin[e],s_1406,ribflv,EX_ribflv_e,ribflv
(r)-pantothenate,(R)-pantothenate[e],s_0032,pnto_R,EX_pnto__R_e,pnto__R
dimethyl sulfide,,,dms,EX_dms_e,dms
chloride,chloride[e],s_4200,cl,EX_cl_e,cl
nicotinate,nicotinate[e],s_1220,nac,EX_nac_e,nac
sulfate,,s_1468,so4,EX_so4_e,so4
phosphate,phosphate[e],s_1324,pi,EX_pi_e,pi
ammonia,ammonium[e],s_0420,nh4,EX_nh4_e,nh4
hydrogen sulfide,,,h2s,EX_h2s_e,h2s
water,H2O[e],s_0805,h2o,EX_h2o_e,h2o
calcium (ca2+),Ca(2+)[e],s_4199,ca2,EX_ca2_e,ca2
copper (cu2+),Cu2(+)[e],s_4201,cu2,EX_cu2_e,cu2
cobalt (co2+),,,cobalt2,EX_cobalt2_e,cobalt2
iron (fe2+),iron(2+)[e],s_0925,fe2,EX_fe2_e,fe2
iron (fe3+),iron(3+)[e],s_3936,fe3,EX_fe3_e,fe3
potassium (k+),potassium[e],s_1374,k,EX_k_e,k
magnesium (mg2+),Mg(2+)[e],s_4204,mg2,EX_mg2_e,mg2
manganese (mn2+),Mn(2+)[e],s_4202,mn2,EX_mn2_e,mn2
sodium (na+),sodium[e],s_1438,na1,EX_na1_e,na1
nickel (ni2+),,,,,
zinc (zn2+),Zn(2+)[e],s_4203,zn2,EX_zn2_e,zn2
succinate,succinate[e],s_1459,succ,EX_succ_e,succ
propionate,,,ppa,EX_ppa_e,ppa
propanal,propanal[e],s_4236,ppal,EX_ppal_e,ppal
l-lactate,(S)-lactate[e],s_0064,lac_L,EX_lac__L_e,lac__L
imp,,,imp,EX_imp_e,imp
guanine,guanine[e],s_0788,gua,EX_gua_e,gua
reduced glutathione,glutathione[e],s_0751,gthrd,EX_gthrd_e,gthrd
glycolate,,,glyclt,EX_glyclt_e,glyclt
methanethiol,,,ch4s,EX_ch4s_e,ch4s
(r)-3-hydroxybutanoate,,,bhb,EX_bhb_e,bhb
adenine,adenine[e],s_0384,ade,EX_ade_e,ade
acetone,,,acetone,EX_acetone_e,acetone
acetaldehyde,acetaldehyde[e],s_0360,acald,EX_acald_e,acald
3 methylbutanal,3-methylbutanal[e],,,EX_3mbal_e,3mbal
guanidine,,,M02035,,
l-carnosine,,,carn,EX_carn_e,carn
citrate,citrate[e],s_0523,cit,EX_cit_e,cit
creatine,,,creat,EX_creat_e,creat
creatinine,creatinine[e],s_4091,crtn,EX_crtn_e,crtn
l-carnitine,(R)-carnitine[e],s_0022,crn,EX_crn_e,crn
deoxycytidine,deoxycytidine[e],s_0611,dcyt,EX_dcyt_e,dcyt
uracil,uracil[e],s_1551,ura,EX_ura_e,ura
urea,urea[e],s_1553,urea,EX_urea_e,urea
xanthine,9H-xanthine[e],s_0358,xan,EX_xan_e,xan
H+,H+[e],s_0796,h,EX_h_e,h
Oxygen,O2[e],s_1277,o2,EX_o2_e,o2
"2',3'-cyclic AMP","2',3'-cyclic AMP[e]",s_4161,23camp,EX_23camp_e,23camp
"2',3'-cyclic UMP","2',3'-cyclic UMP[e]",s_4103,23cump,EX_23cump_e,23cump
2-phosphoglycolate,2-phosphoglycolate[e],s_4070,2pglyc,EX_2pglyc_e,2pglyc
3'-AMP,3'-AMP[e],s_4107,3amp,EX_3amp_e,3amp
3'-GMP,3'-GMP[e],s_4069,3gmp,EX_3gmp_e,3gmp
gamma-aminobutyrate,gamma-aminobutyrate[e],s_0736,4abut,EX_4abut_e,4abut
adenosine,adenosine[e],s_0387,adn,EX_adn_e,adn
2-oxoglutarate,2-oxoglutarate[e],s_0181,akg,EX_akg_e,akg
